Album,Grupo,Musicas,tempo_medio,Harris,Dickinson,Smith,Murray
Iron Maiden,1,7,287.14285714285717,85.71,0,0,14.29
Killers,1,8,250.375,100,0,0,0
No Prayer for the Dying,1,10,262.2,70,60,10,20
Piece of Mind,1,9,302,66.67,44.44,33.33,11.11
Powerslave,1,7,402.42857142857144,42.86,57.14,28.57,0
The Number of the Beast,1,8,293.875,87.5,0,37.5,0
Brave New World,2,10,401.7,100,40,20,30
Dance of Death,2,11,370.6363636363636,90.91,54.55,45.45,18.18
Fear of the Dark,2,12,289.8333333333333,58.33,41.67,0,16.67
Seventh Son of a Seventh Son,2,8,328.875,87.5,50,37.5,12.5
Somewhere in Time,2,8,384.75,62.5,0,37.5,12.5
The X Factor,3,11,387.90909090909093,90.91,0,0,0
Virtual XI,3,8,400.25,87.5,0,0,25
A Matter of Life and Death,4,10,431.3,100,50,50,10
Senjutsu,4,10,491.3,70,30,40,0
The Book of Souls,4,11,527.8181818181819,63.64,36.36,45.45,9.09
The Final Frontier,4,10,459.4,100,40,60,10
