Grupo,Album,Song,Composers,Time,Seconds,Fase,Harris,Dickinson,Murray,Smith,Gers,Di'Anno,Bayley,McBrain,Burr
1,Iron Maiden,Prowler,Harris,3:55,235,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Iron Maiden,Remember Tomorrow,"Harris, Di'Anno",5:27,327,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1,Iron Maiden,Running Free,"Harris, Di'Anno",3:16,196,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1,Iron Maiden,Phantom of the Opera,Harris,7:20,440,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Iron Maiden,Strange World,Harris,5:45,345,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Iron Maiden,Charlotte the Harlot,Murray,4:12,252,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Iron Maiden,Iron Maiden,Harris,3:35,215,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Killers,Wrathchild,Harris,2:54,174,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Killers,Murders in the Rue Morgue,Harris,4:14,254,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Killers,Another Life,Harris,3:22,202,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Killers,Innocent Exile,Harris,3:50,230,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Killers,Killers,"Di'Anno, Harris",4:58,298,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1,Killers,Prodigal Son,Harris 5,6:0,360,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Killers,Purgatory,Harris,3:18,198,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Killers,Drifter,Harris,4:47,287,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,The Number of the Beast,Invaders,Harris,3:20,200,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,The Number of the Beast,Children of the Damned,Harris,4:34,274,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,The Number of the Beast,The Prisoner,"Smith, Harris",5:34,334,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1,The Number of the Beast,22 Acacia Avenue,"Harris, Smith",6:34,394,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1,The Number of the Beast,The Number of the Beast,Harris,4:25,265,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,The Number of the Beast,Run to the Hills,Harris,3:50,230,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,The Number of the Beast,Gangland,"Smith, Burr",3:46,226,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
1,The Number of the Beast,Hallowed Be Thy Name,Harris,7:08,428,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Piece of Mind,Where Eagles Dare,Harris,6:08,368,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Piece of Mind,Revelations,Dickinson,6:51,411,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Piece of Mind,Flight of Icarus,"Smith, Dickinson",3:49,229,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Piece of Mind,Die with Your Boots On,"Smith, Dickinson, Harris",5:22,322,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Piece of Mind,The Trooper,Harris,4:10,250,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Piece of Mind,Still Life,"Murray, Harris",4:27,267,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Piece of Mind,Quest for Fire,Harris,3:40,220,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Piece of Mind,Sun and Steel,"Dickinson, Smith",3:25,205,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Piece of Mind,To Tame a Land,Harris,7:26,446,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Powerslave,Aces High,Harris,4:31,271,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Powerslave,2 Minutes to Midnight,"Smith, Dickinson",6:04,364,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Powerslave,Flash of the Blade,Dickinson,4:05,245,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Powerslave,The Duellists,Harris,6:18,378,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Powerslave,Back in the Village,"Smith, Dickinson",5:02,302,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Powerslave,Powerslave,Dickinson,7:12,432,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Powerslave,Rime of the Ancient Mariner,Harris,13:45,825,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Somewhere in Time,Caught Somewhere in Time,Harris,7:22,442,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Somewhere in Time,Wasted Years,Smith,5:06,306,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Somewhere in Time,Sea of Madness,Smith,5:42,342,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Somewhere in Time,Heaven Can Wait,Harris,7:24,444,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Somewhere in Time,The Loneliness of the Long Distance Runner,Harris,6:31,391,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Somewhere in Time,Stranger in a Strange Land,Smith,5:43,343,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Somewhere in Time,Deja-Vu,"Murray, Harris",4:55,295,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Somewhere in Time,Alexander the Great,Harris,8:35,515,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Seventh Son of a Seventh Son,Moonchild,"Smith, Dickinson",5:38,338,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Seventh Son of a Seventh Son,Infinite Dreams,Harris,6:08,368,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Seventh Son of a Seventh Son,Can I Play with Madness,"Smith, Dickinson, Harris",3:30,210,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Seventh Son of a Seventh Son,The Evil That Men Do,"Smith, Dickinson, Harris",4:33,273,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Seventh Son of a Seventh Son,Seventh Son of a Seventh Son,Harris,9:52,592,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Seventh Son of a Seventh Son,The Prophecy,"Murray, Harris",5:04,304,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Seventh Son of a Seventh Son,The Clairvoyant,Harris,4:26,266,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Seventh Son of a Seventh Son,Only the Good Die Young,"Harris, Dickinson",4:40,280,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,No Prayer for the Dying,Tailgunner,"Harris, Dickinson",4:13,253,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,No Prayer for the Dying,Holy Smoke,"Harris, Dickinson",3:47,227,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,No Prayer for the Dying,No Prayer for the Dying,Harris,4:22,262,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,No Prayer for the Dying,Public Enema Number One,"Murray, Dickinson",4:03,243,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,No Prayer for the Dying,Fates Warning,"Murray, Harris",4:09,249,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,No Prayer for the Dying,The Assassin,Harris,4:16,256,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,No Prayer for the Dying,Run Silent Run Deep,"Harris, Dickinson",4:34,274,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,No Prayer for the Dying,Hooks in You,"Dickinson, Smith",4:06,246,3,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1,No Prayer for the Dying,Bring Your Daughter... to the Slaughter,Dickinson,4:42,282,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,No Prayer for the Dying,Mother Russia,Harris,5:30,330,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Fear of the Dark,Be Quick or Be Dead,"Dickinson, Gers",3:21,201,3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2,Fear of the Dark,From Here to Eternity,Harris,3:35,215,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Fear of the Dark,Afraid to Shoot Strangers,Harris,6:52,412,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Fear of the Dark,Fear Is the Key,"Dickinson, Gers",5:30,330,3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2,Fear of the Dark,Childhood's End,Harris,4:37,277,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Fear of the Dark,Wasting Love,"Dickinson, Gers",5:46,346,3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2,Fear of the Dark,The Fugitive,Harris,4:52,292,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Fear of the Dark,Chains of Misery,"Dickinson, Murray",3:33,213,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Fear of the Dark,The Apparition,"Harris, Gers",3:53,233,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2,Fear of the Dark,Judas Be My Guide,"Dickinson, Murray",3:06,186,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Fear of the Dark,Weekend Warrior,"Harris, Gers",5:37,337,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2,Fear of the Dark,Fear of the Dark,Harris,7:16,436,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,The X Factor,Sign of the Cross,Harris,11:18,678,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,The X Factor,Lord of the Flies,"Harris, Gers",5:04,304,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
3,The X Factor,Man on the Edge,"Bayley, Gers",4:13,253,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
3,The X Factor,Fortunes of War,Harris,7:24,444,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,The X Factor,Look for the Truth,"Bayley, Gers, Harris",5:10,310,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
3,The X Factor,The Aftermath,"Harris, Bayley, Gers",6:21,381,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
3,The X Factor,Judgement of Heaven,Harris,5:12,312,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,The X Factor,Blood on the World's Hands,Harris,5:58,358,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
