Album,Grupo,Musicas,tempo_medio,Harris,Dickinson,Smith,Murray
A Matter of Life and Death,1,10,431.3,100,50,50,10
Dance of Death,1,11,370.6363636363636,90.91,54.55,45.45,18.18
Fear of the Dark,1,12,289.8333333333333,58.33,41.67,0,16.67
Iron Maiden,1,7,287.14285714285717,85.71,0,0,14.29
Killers,1,8,250.375,100,0,0,0
Piece of Mind,1,9,302,66.67,44.44,33.33,11.11
Powerslave,1,7,402.42857142857144,42.86,57.14,28.57,0
Senjutsu,1,10,491.3,70,30,40,0
Somewhere in Time,1,8,384.75,62.5,0,37.5,12.5
The Book of Souls,1,11,527.8181818181819,63.64,36.36,45.45,9.09
The Final Frontier,1,10,459.4,100,40,60,10
The Number of the Beast,1,8,293.875,87.5,0,37.5,0
The X Factor,1,11,387.90909090909093,90.91,0,0,0
Virtual XI,1,8,400.25,87.5,0,0,25
Seventh Son of a Seventh Son,2,8,328.875,87.5,50,37.5,12.5
No Prayer for the Dying,3,10,262.2,70,60,10,20
Brave New World,4,10,401.7,100,40,20,30
