termo,Iron Maiden,Killers,The Number of the Beast,Piece of Mind,Powerslave,Somewhere in Time,Seventh Son of a Seventh Son,No Prayer for the Dying,Fear of the Dark,The X Factor,Virtual XI,Brave New World,Dance of Death,A Matter of Life and Death,The Final Frontier,The Book of Souls,Senjutsu
you'r,12,0,19,9,5,5,9,3,14,2,6,15,5,4,2,1,1
love,10,1,1,0,2,0,1,7,11,1,0,12,0,8,3,0,2
feel,9,11,3,3,5,13,3,10,8,19,22,8,11,5,10,12,6
blood,8,3,2,1,4,0,0,1,0,7,0,1,8,4,3,4,4
run,7,10,10,2,6,9,0,6,4,7,4,8,3,3,7,6,3
they'r,6,3,3,1,1,1,0,5,0,1,0,2,1,1,2,0,1
air,5,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1
free,5,3,7,1,0,3,1,1,3,1,9,3,3,6,9,4,2
give,5,0,0,1,0,1,4,5,0,1,2,1,4,6,7,0,5
show,5,1,1,0,1,0,0,1,0,0,1,16,8,1,2,0,3
want,5,0,6,1,3,2,1,2,12,7,33,2,18,5,3,3,1
eye,4,3,4,8,7,4,6,2,6,0,4,0,5,6,10,4,5
find,4,7,1,1,0,3,3,0,5,2,0,0,7,3,4,6,3
i'v,4,12,1,2,0,6,0,13,0,16,2,8,3,0,12,0,7
long,4,3,4,2,2,2,0,1,5,1,2,1,0,7,4,2,5
stand,4,0,4,4,0,4,2,0,1,5,1,1,5,0,7,7,10
walk,4,3,5,1,1,0,3,3,6,0,5,2,1,0,4,3,3
you'v,4,0,4,0,0,6,0,2,6,3,5,5,0,0,1,0,0
bed,3,1,0,0,0,0,1,2,0,1,0,0,2,1,0,2,0
believ,3,1,4,1,1,4,1,1,3,4,16,0,3,1,8,3,4
call,3,5,3,5,2,4,2,1,0,2,0,2,2,3,6,3,7
dream,3,1,5,1,0,7,7,2,8,3,2,53,17,8,4,6,4
fall,3,0,1,10,5,1,2,1,2,10,1,2,5,3,5,5,10
flow,3,0,1,0,0,3,0,0,1,0,2,0,0,0,3,2,0
hear,3,0,0,1,3,2,2,2,5,2,4,0,1,4,17,4,11
hide,3,1,2,0,0,1,0,1,0,5,4,8,2,1,5,5,0
light,3,1,3,5,2,1,0,3,4,1,5,3,2,6,11,11,5
room,3,0,0,0,0,0,0,0,3,2,0,1,0,0,0,1,0
tear,3,0,1,4,1,0,0,1,2,1,13,1,9,0,3,7,1
white,3,0,1,0,1,0,0,1,0,0,0,16,0,0,0,1,0
abov,2,0,0,1,0,3,0,2,0,1,0,1,0,1,0,0,1
befor,2,5,1,0,2,7,3,1,4,1,3,7,2,2,4,8,7
begin,2,0,2,2,2,0,2,0,2,1,2,2,1,3,4,10,3
boy,2,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
cloud,2,1,0,0,0,0,0,0,1,0,1,2,0,0,2,7,1
everi,2,0,0,2,0,2,2,2,0,2,0,4,2,2,2,4,2
fire,2,0,4,11,2,2,5,2,0,2,6,0,6,7,5,5,4
