Song,Composers,Time,Seconds,Album,Fase,Lyrics,Harris,Dickinson,Murray,Smith,Gers,Di'Anno,Bayley,McBrain,Burr
Prowler,Harris,3:55,235,Iron Maiden,1,"walk through the citi , look oh so pretti , i'v just got to find my way . see the ladi flash . all there leg and lash . i'v just got to find my way . well you see me crawl through the bush with it open wide . what you see girl ? can't you believ that feel , can't you believ it , can't you believ your eye ? it the real thing girl . got me feel myself and reel around , got me talk but feel like walk around . got me feel myself and reel a . . . got me talk but noth with me . . . got me feel myself and reel around .",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Remember Tomorrow,"Harris, Di'Anno",5:27,327,Iron Maiden,1,"unchain the colour befor my eye , yesterday sorrow , tomorrow white lie . scan the horizon , the cloud take me higher , i shall return from out of fire . tear for remember , and tear for joy , tear for somebodi and this lone boy . out in the mad , the all see eye , flicker abov us , to light up the sky . unchain the colour befor my eye , yesterday sorrow , tomorrow white lie . scan the horizon , the cloud take me higher , i shall return from out of fire .",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Running Free,"Harris, Di'Anno",3:16,196,Iron Maiden,1,"just sixteen , a pickup truck , out of money , out of luck . i'v got nowher to call my own , hit the gas , and here i go . ( chorus : ) i'm run free yeah , i'm run free . i'm run free yeah , oh i'm run free . spent the night in an l . a . jail , and listen to the siren wail . they ain't got a thing on me , i'm run wild , i'm run free . ( chorus ) puller here at the bottl top , whiskey , danc , disco hop . now all the boy are after me , and that the way it gonna be .",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Phantom of the Opera,Harris,7:20,440,Iron Maiden,1,"i'v been look so long for you now you won't get away from my grasp you'v been live so long in hide in hide behind that fals mask and you know and i know that you ain't got long now to last your look and your feel are just the remain of your past you'r stand in the wing there you wait for the curtain to fall know the terror and hold you have on us all yeah , i know that you'r gonna scratch me maim me and maul you know i'm helpless from your mesmeris cat call keep your distanc , walk away , don't take his bait don't you stray , don't fade away watch your step , he out to get you , come what may don't you stray , from the narrow way i'm run and hide in my dream you'r alway there you'r the phantom of the opera you'r the devil , you'r just out to scare you damag my mind and my soul t just float through the air haunt me , you taunt me , you tortur me back at your lair oh ! you tortur me back at your lair",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Strange World,Harris,5:45,345,Iron Maiden,1,"the onli place where you can dream , live here is not what it seem . ship of white light in the sky , nobodi there to reason whi . here i am , i'm not realli there , smile face ever so rare . a let walk in deepest space , live here just isn't the place . stalk of light come from the ground , when i cri there isn't a sound . all my feel cannot be held , i'm happi in my new strang world . shade of green grass twine , girl drink plasma wine . a look at love , a dream unfold , live here , you'll never grow old . don't you hear me call ? ooh",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Charlotte the Harlot,Murray,4:12,252,Iron Maiden,1,"give a swish with your ars in the air , don't you know what they'r say ? charlott you'r so refin when you take all the love that they'r give stick with everi man that you find don't you know what they'r after ? charlott you'v got your leg in the air don't you hear all the laughter ? ( chorus ) charlott the harlot show me your leg , charlott the harlot take me to bed . charlott the harlot let me see blood , charlott the harlot let me see love . take so mani men to your room , don't you feel no remors ? you charg them a "" fiver "" , it onli for starter . and ten for the main cours . and you'v got no feel , they die long ago . don't you care who you let in ? and don't you know you'r break the law with the servic you'r give . ( chorus ) charlott the harlot show me your leg , charlott the harlot take me to bed . charlott the harlot let me see blood , charlott the harlot let me see love . there was a time when you left me stand there , pick up piec of love off the floor . well charlott you left me alon in there , to make your end as a bloodi whore . well charlott you told me you love me true , pick up piec of love yesterday . well charlott you'r draw are off color too ' caus you'r make love all day . give a swish with your ars in the air don't you know what they'r say ? charlott you'r so refin when you take all the love that they'r give . stick with everi man that you find don't you know what they'r after ? charlott you'v got your leg in the air don't you hear all the laughter ? ( chorus ) charlott the harlot show me your leg , charlott the harlot take me to bed . charlott the harlot let me see blood , charlott the harlot let me see love .",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Iron Maiden,Harris,3:35,215,Iron Maiden,1,"won't you come into my room , i wanna show you all my ware i just want to see your blood i just want to stand and stare see the blood begin to flow as it fall upon the floor . iron maiden can't be fought iron maiden can't be sought chorus : oh well , wherev wherev you are iron maiden gonna get you no matter how far see the blood flow watch it shed up abov my head iron maiden want you for dead won't you come into my room , i wanna show you all my ware i just want to see your blood , i just want to stand and stare see the blood begin to flow as it fall upon the floor iron maiden can't be fought iron maiden can't be sought",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Wrathchild,Harris,2:54,174,Killers,1,"i was born into a scene of angri and greed of domin and persecut my mother was a queen my dad i'v never seen i was never meant to be . now i spend my time look all around for a man that nowher to be found , until i find him , i'm never gonna stop search i'm go to find my man gonna travel round . chorus cos i'm a wrathchild , well i'm a wrathchild , yeh i'm a wrathchild i'm come to get you . . . ooh yeah yeah some say it shouldn't matter ain't noth gonna alter the cours of my destin but i know i'v gotta find some serious peac of mind or i know i'll just go crazi now i spend my time look all around for a man that nowher to be found , until i find him , i'm never gonna stop search i'm go to find my man gonna travel round .",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Murders in the Rue Morgue,Harris,4:14,254,Killers,1,"i rememb it as plain as day although it happen in the dark of the night i was stroll through the street of pari and it was cold it was start to rain and then i heard a pierc scream and i rush to the scene of the crime but all i found was the butcher remain of two girl lay side by side murder in the rue morgu someon call the gendarm murder in the rue morgu run befor the killer go free there some peopl come down the street at last there someon heard my call i can't understand whi they'r point at me i never done noth at all but i must have got some blood on my hand becaus everyon shout at me i can't speak french so i couldn't explain and like a fool i start run away murder in the rue morgu someon call the gendarm murder in the rue morgu am i ever gonna be free and now i'v gotta get away from the arm of the law all franc is look for me i'v gotta find my way across the border for sure down the south to itali murder in the rue morgu someon call the gendarm murder in the rue morgu i'm never go home well i made it to the border at last but i can't eras the scene from my mind anytim somebodi stare at me , well i just start run blind well i'm move through the shadow at night away from the stare eye ani day they'll be look for me ' caus i know i show the sign of murder in the rue morgu run from the gendarm murder in the rue morgu run from the arm of the law murder in the rue morgu run from the gendarm murder in the rue morgu am i ever gonna be free it took so long and i'm get so tire i'm run out of place to hide should i return to the scene of the crime where the two young victim die if i could go to somebodi for help it'd get me out of troubl for sure but i know that it on my mind that my doctor said i'v done it befor murder in the rue morgu they'r never gonna find me murder in the rue morgu i'm never go home",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Another Life,Harris,3:22,202,Killers,1,"as i lay here lie on my bed , sweet voic come into my head . what it is i wanna know pleas won ' t you tell me it got to go there ' s a feel that ' s insid me tell me to get away but i ' m so tire of live i might as well end today",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
